company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
Reser's Fine Foods,"Pasco, Washington",US,2021,,,,,23226,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Revol Greens,"Temple, Texas",US,2021,110.0,USD,121.03,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Riceland Foods,"Jonesboro, Arkansas",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Riceland Foods,"Stuttgart, Arkansas",US,2021,,,,,1208,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Rich Products,"Lodi, California",US,2021,,,,,2415,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Rio Blue Produce,"Santa Teresa, New Mexico",US,2021,,,,,5574,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
River Run Foods,"Allenwood, Pennsylvania",US,2021,,,,,27871,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Roquette,"Portage la Prairie, Manitoba",CA,2021,485.0,USD,533.61,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
SK Food Group,"Columbus, Ohio",US,2021,,,,,13378,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Samuel Adams,"Cincinnati, Ohio",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2020,0.565
Saratoga Food Specialties (Smithfield Foods),"Las Vegas area, Nevada",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Saturn Petcare,"Vigo, Indiana",US,2021,,,,,18395,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Sazerac,"New Albany, Indiana",US,2021,66.0,USD,72.62,,42735,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2019,0.79
Schartner Farms,"Exeter, Rhode Island",US,2021,57.0,USD,62.71,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.715
Schwan's,"Salina, Kansas",US,2021,,,,,37161,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
Schwan's,"Stillwell, Oklahoma",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
Scoular,"Jerome, Idaho",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.565
"Seaboard Foods, LLC","Guymon, Oklahoma",US,2021,,,,,17652,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2022,0.64
